"_id";correspond;first
5cdf01ea45d3d811cf772233;C;investigatif
5cdf01ea45d3d811cf772234;C;tajam
5cdf01ea45d3d811cf772235;C;investigasi
5cdf01ea45d3d811cf772236;C;tersusun
5cdf01ea45d3d811cf772237;C;beres
5cdf01ea45d3d811cf772238;C;resik
5cdf01ea45d3d811cf772239;C;kilap
5cdf01ea45d3d811cf77223a;C;sportif
5cdf01ea45d3d811cf77223b;C;fasih
5cdf01ea45d3d811cf77223c;C;perincian
5cdf01ea45d3d811cf77223d;C;spesifikasi
5cdf01ea45d3d811cf77223e;C;uraian
5cdf01ea45d3d811cf77223f;C;manjur
5cdf01ea45d3d811cf772240;C;berdaya guna
5cdf01ea45d3d811cf772241;C;berkhasiat
5cdf01ea45d3d811cf772242;C;mempan
5cdf01ea45d3d811cf772243;C;berhasil guna
5cdf01ea45d3d811cf772244;C;saksi
5cdf01ea45d3d811cf772245;C;kebenaran
5cdf01ea45d3d811cf772246;C;kejituan
5cdf01ea45d3d811cf772247;C;presisi
5cdf01ea45d3d811cf772248;C;efisiensi
5cdf01ea45d3d811cf772249;C;kepintaran
5cdf01ea45d3d811cf77224a;C;akal sehat
5cdf01ea45d3d811cf77224b;C;tantang
5cdf01ea45d3d811cf77224c;C;menguraikan
5cdf01ea45d3d811cf77224d;C;mengupas
5cdf01ea45d3d811cf77224e;C;kemajuan
5cdf01ea45d3d811cf77224f;C;kenaikan
5cdf01ea45d3d811cf772250;C;alternatif
5cdf01ea45d3d811cf772251;C;performa
5cdf01ea45d3d811cf772252;C;menjaga diri
5cdf01ea45d3d811cf772253;D;trendi
5cdf01ea45d3d811cf772254;D;hijau
5cdf01ea45d3d811cf772255;D;perdana
5cdf01ea45d3d811cf772256;D;lagi
5cdf01ea45d3d811cf772257;D;anyar
5cdf01ea45d3d811cf772258;D;segar
5cdf01ea45d3d811cf772259;D;terkini
5cdf01ea45d3d811cf77225a;D;pertama
5cdf01ea45d3d811cf77225b;D;awal
5cdf01ea45d3d811cf77225c;D;dasar
5cdf01ea45d3d811cf77225d;D;buru-buru
5cdf01ea45d3d811cf77225e;D;banter
5cdf01ea45d3d811cf77225f;D;taman
5cdf01ea45d3d811cf772260;D;rakitan
5cdf01ea45d3d811cf772261;D;pendapatan
5cdf01ea45d3d811cf772262;D;inisiatif
5cdf01ea45d3d811cf772263;D;pengertian
5cdf01ea45d3d811cf772264;D;persepsi
5cdf01ea45d3d811cf772265;D;kelebihan
5cdf01ea45d3d811cf772266;D;pengendalian
5cdf01ea45d3d811cf772267;D;berpengaruh
5cdf01ea45d3d811cf772268;D;solid
5cdf01ea45d3d811cf772269;D;pagan
5cdf01ea45d3d811cf77226a;D;tahan lama
5cdf01ea45d3d811cf77226b;D;mantap
5cdf01ea45d3d811cf77226c;D;direk
5cdf01ea45d3d811cf77226d;D;menemui
5cdf01ea45d3d811cf77226e;D;menganggap
5cdf01ea45d3d811cf77226f;D;tawakal
5cdf01ea45d3d811cf772270;D;terdiri
5cdf01ea45d3d811cf772271;D;tercipta
5cdf01ea45d3d811cf772272;D;arah tujuan
5cdf01ea45d3d811cf772273;D;lesan
5cdf01ea45d3d811cf772274;D;mata alamat
5cdf01ea45d3d811cf772275;I;menggebu
5cdf01ea45d3d811cf772276;I;membara
5cdf01ea45d3d811cf772277;I;kegairahan
5cdf01ea45d3d811cf772278;I;perhubungan
5cdf01ea45d3d811cf772279;I;jalinan
5cdf01ea45d3d811cf77227a;I;saluran
5cdf01ea45d3d811cf77227b;I;koneksi
5cdf01ea45d3d811cf77227c;I;asosiasi
5cdf01ea45d3d811cf77227d;I;jaringan
5cdf01ea45d3d811cf77227e;I;sangkut-paut
5cdf01ea45d3d811cf77227f;I;hablun
5cdf01ea45d3d811cf772280;I;interaksi
5cdf01ea45d3d811cf772281;I;kekerabatan
5cdf01ea45d3d811cf772282;I;keberuntungan
5cdf01ea45d3d811cf772283;I;keuntungan
5cdf01ea45d3d811cf772284;I;kelezatan hidup
5cdf01ea45d3d811cf772285;I;kesukacitaan
5cdf01ea45d3d811cf772286;I;kegirangan
5cdf01ea45d3d811cf772287;I;gerombolan
5cdf01ea45d3d811cf772288;I;kesediaan
5cdf01ea45d3d811cf772289;I;keikhlasan
5cdf01ea45d3d811cf77228a;I;rekomendasi
5cdf01ea45d3d811cf77228b;I;kekhilafan
5cdf01ea45d3d811cf77228c;I;kelalaian
5cdf01ea45d3d811cf77228d;S;koman
5cdf01ea45d3d811cf77228e;S;rutin
5cdf01ea45d3d811cf77228f;S;sewajarnya
5cdf01ea45d3d811cf772290;S;luwes
5cdf01ea45d3d811cf772291;S;preman
5cdf01ea45d3d811cf772292;S;cakap
5cdf01ea45d3d811cf772293;S;terkondisi
5cdf01ea45d3d811cf772294;S;naif
5cdf01ea45d3d811cf772295;S;kebanyakan
5cdf01ea45d3d811cf772296;S;takut-takut berani
5cdf01ea45d3d811cf772297;S;rusuh pikiran
5cdf01ea45d3d811cf772298;S;imbang-imbangan
5cdf01ea45d3d811cf772299;S;limbung
5cdf01ea45d3d811cf77229a;S;santai
5cdf01ea45d3d811cf77229b;S;tidak resmi
5cdf01ea45d3d811cf77229c;S;tangan kanan
5cdf01ea45d3d811cf77229d;S;pengorbanan
5cdf01ea45d3d811cf77229e;S;menolong
5cdf01ea45d3d811cf77229f;S;mengulas tangan
5cdf01ea45d3d811cf7722a0;S;menggemboskan
5cdf01ea45d3d811cf7722a1;S;mengantapkan
5cdf01ea45d3d811cf7722a2;S;toleran
5cdf01ea45d3d811cf7722a3;S;berpadang luas
5cdf01ea45d3d811cf7722a4;S;mapan
5cdf01ea45d3d811cf7722a5;S;kestabilan
5cdf01ea45d3d811cf7722a6;S;keseimbangan
5cdf01ea45d3d811cf7722a7;S;melar
5cdf01ea45d3d811cf7722a8;S;longo
5cdf01ea45d3d811cf7722a9;S;melompong
5cdf01ea45d3d811cf7722aa;S;blakblakan
